date,open,high,low,close,adjusted_close,volume,warning
2023-12-12,193.08,194.72,191.72,194.71,193.9739,52696900,
2023-12-13,195.09,198.0,194.85,197.96,197.2117,70404200,
2023-12-14,198.02,199.62,196.16,198.11,197.3611,66831600,
2023-12-15,197.53,198.4,197.0,197.57,196.8231,128256700,
2023-12-18,196.09,196.63,194.39,195.89,195.1495,55751900,
2023-12-19,196.16,196.95,195.89,196.94,196.1955,40714100,
2023-12-20,196.9,197.68,194.83,194.83,194.0935,52242800,
2023-12-21,196.1,197.08,193.5,194.68,193.9441,46482500,
2023-12-22,195.18,195.41,192.97,193.6,192.8681,37122800,
2023-12-26,193.61,193.89,192.83,193.05,192.3202,28919300,
2023-12-27,192.49,193.5,191.09,193.15,192.4198,48087700,
2023-12-28,194.14,194.66,193.17,193.58,192.8482,34049900,
2023-12-29,193.9,194.4,191.73,192.53,191.8022,42628800,
2024-01-02,187.15,188.44,183.89,185.64,184.9382,82488700,
2024-01-03,184.22,185.88,183.43,184.25,183.5535,58414500,
2024-01-04,182.15,183.09,180.88,181.91,181.2223,71983600,
2024-01-05,181.99,182.76,180.17,181.18,180.4951,62303300,
2024-01-08,182.09,185.6,181.5,185.56,184.8585,59144500,
2024-01-09,183.92,185.15,182.73,185.14,184.4401,42841800,
2024-01-10,184.35,186.4,183.92,186.19,185.4861,46792900,
2024-01-11,186.54,187.05,183.62,185.59,184.8884,49128400,
2024-01-12,186.06,186.74,185.19,185.92,185.2172,40444700,
2024-01-16,182.16,184.26,180.93,183.63,182.9358,65603000,
2024-01-17,181.27,182.93,180.3,182.68,181.9894,47317400,
2024-01-18,186.09,189.14,185.83,188.63,187.9169,78005800,
2024-01-19,189.33,191.95,188.82,191.56,190.8358,68741000,
2024-01-22,192.3,195.33,192.26,193.89,193.157,60133900,
2024-01-23,195.02,195.75,193.83,195.18,194.4422,42355600,
2024-01-24,195.42,196.38,194.34,194.5,193.7647,53631300,
2024-01-25,195.22,196.27,193.11,194.17,193.436,54822100,
2024-01-26,194.27,194.76,191.94,192.42,191.6926,44594000,
2024-01-29,192.01,192.2,189.58,191.73,191.0052,47145600,
2024-01-30,190.94,191.8,187.47,188.04,187.3292,55859400,
2024-01-31,187.04,187.1,184.35,184.4,183.7029,55467800,
2024-02-01,183.99,186.95,183.82,186.86,186.1536,64885400,
2024-02-02,179.86,187.33,179.25,185.85,185.1474,102518000,
2024-02-05,188.15,189.25,185.84,187.68,186.9705,69668800,
2024-02-06,186.86,189.31,186.77,189.3,188.5844,43490800,
2024-02-07,190.64,191.05,188.61,189.41,188.694,53439000,
2024-02-08,189.39,189.54,187.35,188.32,187.6081,40962000,
2024-02-09,188.65,189.99,188.0,188.85,188.3762,45155200,
2024-02-12,188.42,188.67,186.79,187.15,186.6804,41781900,
2024-02-13,185.77,186.21,183.51,185.04,184.5757,56529500,
2024-02-14,185.32,185.53,182.44,184.15,183.688,54630500,
2024-02-15,183.55,184.49,181.35,183.86,183.3987,65434500,
2024-02-16,183.42,184.85,181.67,182.31,181.8526,49701400,
2024-02-20,181.79,182.43,180.0,181.56,181.1045,53665600,
2024-02-21,181.94,182.89,180.66,182.32,181.8625,41529700,
2024-02-22,183.48,184.96,182.46,184.37,183.9074,52292200,
2024-02-23,185.01,185.04,182.23,182.52,182.062,45119700,
2024-02-26,182.24,182.76,180.65,181.16,180.7055,40867400,
2024-02-27,181.1,183.92,179.56,182.63,182.1718,54318900,
2024-02-28,182.51,183.12,180.13,181.42,180.9648,48953900,
2024-02-29,181.27,182.57,179.53,180.75,180.2965,136682600,
2024-03-01,179.55,180.53,177.38,179.66,179.2092,73488000,
2024-03-04,176.15,176.9,173.79,175.1,174.6607,81510100,
2024-03-05,170.76,172.04,169.62,170.12,169.6932,95132400,
2024-03-06,171.06,171.24,168.68,169.12,168.6957,68587700,
2024-03-07,169.15,170.73,168.49,169.0,168.576,71765100,
2024-03-08,169.0,173.7,168.94,170.73,170.3016,76114600,
2024-03-11,172.94,174.38,172.05,172.75,172.3166,60139500,
2024-03-12,173.15,174.03,171.01,173.23,172.7954,59825400,
2024-03-13,172.77,173.19,170.76,171.13,170.7006,52488700,
2024-03-14,172.91,174.31,172.05,173.0,172.5659,72913500,
2024-03-15,171.17,172.62,170.29,172.62,172.1869,121664700,
2024-03-18,175.57,177.71,173.52,173.72,173.2841,75604200,
2024-03-19,174.34,176.61,173.03,176.08,175.6382,55215200,
2024-03-20,175.72,178.67,175.09,178.67,178.2217,53423100,
2024-03-21,177.05,177.49,170.84,171.37,170.94,106181300,
2024-03-22,171.76,173.05,170.06,172.28,171.8477,71106600,
2024-03-25,170.57,171.94,169.45,170.85,170.4213,54288300,
2024-03-26,170.0,171.42,169.58,169.71,169.2842,57388400,
2024-03-27,170.41,173.6,170.11,173.31,172.8752,60273300,
2024-03-28,171.75,172.23,170.51,171.48,171.0497,65672700,
2024-04-01,171.19,171.25,169.48,170.03,169.6034,46240500,
2024-04-02,169.08,169.34,168.23,168.84,168.4164,49329500,
2024-04-03,168.79,170.68,168.58,169.65,169.2243,47691700,
2024-04-04,170.29,171.92,168.82,168.82,168.3964,53704400,
2024-04-05,169.59,170.39,168.95,169.58,169.1545,42055200,
2024-04-08,169.03,169.2,168.24,168.45,168.0273,37425500,
2024-04-09,168.7,170.08,168.35,169.67,169.2443,42451200,
2024-04-10,168.8,169.09,167.11,167.78,167.359,49709300,
2024-04-11,168.34,175.46,168.16,175.04,174.6008,91070300,
2024-04-12,174.26,178.36,174.21,176.55,176.107,101593300,
2024-04-15,175.36,176.63,172.5,172.69,172.2567,73531800,
2024-04-16,171.75,173.76,168.27,169.38,168.955,73711200,
2024-04-17,169.61,170.65,168.0,168.0,167.5785,50901200,
2024-04-18,168.03,168.64,166.55,167.04,166.6209,43122900,
2024-04-19,166.21,166.4,164.08,165.0,164.586,67772100,
2024-04-22,165.52,167.26,164.77,165.84,165.4239,48116400,
2024-04-23,165.35,167.05,164.92,166.9,166.4812,49537800,
2024-04-24,166.54,169.3,166.21,169.02,168.5959,48251800,
2024-04-25,169.53,170.61,168.15,169.89,169.4637,50558300,
2024-04-26,169.88,171.34,169.18,169.3,168.8752,44838400,
2024-04-29,173.37,176.03,173.1,173.5,173.0647,68169400,
2024-04-30,173.33,174.99,170.0,170.33,169.9026,65934800,
2024-05-01,169.58,172.71,169.11,169.3,168.8752,50383100,
